date,price,volume,market_cap,daily_return,asset
2024-05-06,13.325915626393675,3222129.8871253473,760721216.8237914,0.011751185362838479,dexe
2024-05-07,13.165213850707394,2935399.9303829074,752205131.4789349,-0.012059342126404471,dexe
2024-05-08,13.069744978434603,3632731.6787587563,746780762.8927703,-0.0072516005706706466,dexe
2024-05-09,13.009732662282184,3356483.5725583993,739382903.0906042,-0.004591697561921793,dexe
2024-05-10,13.291350781837867,4367077.1243673,756733951.2643464,0.021646726098542457,dexe
2024-05-11,12.720030161885441,3471716.6156805023,729002469.7877238,-0.04298439107732477,dexe
2024-05-12,12.65423949945925,1976063.928418545,722552707.1694363,-0.0051722096244181115,dexe
2024-05-13,12.620053007647973,1482483.7889182426,720307524.4273994,-0.002701584066963303,dexe
2024-05-14,12.24960980264316,2669375.9779145606,699593783.3609613,-0.02935353795901796,dexe
2024-05-15,11.897332559614469,2210567.0830947286,678785064.5623382,-0.02875824199336363,dexe
2024-05-16,13.094169391378907,6336164.772262976,750153268.0701193,0.10059707297979581,dexe
2024-05-17,13.045651084820868,3125647.4196000136,744995628.5557992,-0.003705336711924856,dexe
2024-05-18,13.070386490150486,3234351.132898318,746144336.1234328,0.0018960652227162367,dexe
2024-05-19,13.087816601839936,2510705.6910073953,749238716.3236988,0.0013335574814550277,dexe
2024-05-20,12.698511081311477,2856614.8158692587,724869506.9852316,-0.02974564301838778,dexe
2024-05-21,12.388163070075505,5389532.385511682,707380941.0056129,-0.024439716534382816,dexe
2024-05-22,12.120544620517453,6354247.541421713,692010014.481653,-0.021602754826864023,dexe
2024-05-23,12.046116663536395,2442785.0257984814,686912064.4735124,-0.00614064460891206,dexe
2024-05-24,12.16581728351272,3813833.967180988,693577639.11031,0.00993686374785474,dexe
2024-05-25,12.266469082079894,4416234.193495943,699728870.8659277,0.008273328147347714,dexe
2024-05-26,12.121973747459572,2841948.212505989,691914435.0994421,-0.011779700715295105,dexe
2024-05-27,12.109326487632854,2585432.9306736263,692263698.0246074,-0.0010433333787220889,dexe
2024-05-28,12.536180889525316,3143691.3949058102,712753446.2267135,0.035250053116364866,dexe
2024-05-29,12.541940639116318,3770809.6279349895,716248190.9031612,0.0004594501022088249,dexe
2024-05-30,12.545134235903664,7221285.7785726525,717976581.5306451,0.00025463338403830527,dexe
2024-05-31,12.875610060917413,5228232.427621802,733568117.8075788,0.02634294849296559,dexe
2024-06-01,13.110293960508418,4443786.930136429,748156523.8455698,0.018227012039092605,dexe
2024-06-02,12.947166012769994,4438664.9762381045,739668519.6424206,-0.012442737609836052,dexe
2024-06-03,13.0847246238502,4600664.3669953,746989899.3747629,0.010624611667489958,dexe
2024-06-04,13.100964916209383,4654412.016638728,748119563.1889243,0.0012411642450298466,dexe
2024-06-05,13.379602656084268,5369824.67353242,763281828.8815053,0.02126848989040009,dexe
2024-06-06,13.82804682022684,6401187.213067028,789304539.5343494,0.03351700163820981,dexe
2024-06-07,14.061164095220562,17265849.971089847,802085429.3568627,0.016858293728998053,dexe
2024-06-08,12.997057990394522,16521079.965889331,742165208.0302314,-0.07567695658908735,dexe
2024-06-09,13.235412123806633,9602291.152978454,756166299.7994348,0.018339083628638564,dexe
2024-06-10,13.101613885584396,11389961.004114732,751338510.5111325,-0.01010911008819837,dexe
2024-06-11,12.718608220730108,10143400.360870726,726583269.2636815,-0.029233472166028784,dexe
2024-06-12,12.210271136028641,8790223.493638959,696995492.2748607,-0.03996798044875116,dexe
2024-06-13,12.391245195186007,9475106.272307869,707993091.7563924,0.01482146114047933,dexe
2024-06-14,12.017964529062366,9679163.944620091,686619102.9532808,-0.030124548440753962,dexe
2024-06-15,11.944715544286137,9630136.942336677,681272910.070172,-0.00609495764437451,dexe
2024-06-16,12.587853122706756,10317901.817893706,718048837.143189,0.053842854276112906,dexe
2024-06-17,12.604025205874878,9089106.945418322,718961662.9769326,0.001284737199463315,dexe
2024-06-18,11.470509761735732,9192075.492813671,655287168.6060975,-0.0899328131786663,dexe
2024-06-19,10.929722382611532,3846894.7008205154,623412461.525212,-0.047145888923629475,dexe
2024-06-20,10.961833827602254,3456257.3785100477,625815235.6826515,0.0029379927382062743,dexe
2024-06-21,11.196260211236297,2859768.3586977925,639942316.2537433,0.021385690325258278,dexe
2024-06-22,11.12782787958521,5194064.606039436,636086551.1616418,-0.006112070491395838,dexe
2024-06-23,11.142976059244655,4183760.7612818833,635095801.5336331,0.0013612880989322118,dexe
2024-06-24,10.929003987851093,4186734.6022893665,624105120.2160984,-0.019202416863854044,dexe
2024-06-25,11.137837242856678,5448404.272606131,635057662.0440919,0.019108168982070906,dexe
2024-06-26,10.992942959421088,5420368.046947814,627673863.1159632,-0.013009193820687215,dexe
2024-06-27,10.939369722477052,4189063.1650585406,624286120.4209927,-0.00487342080658415,dexe
2024-06-28,11.473620139715974,4745095.638660285,654110202.4556361,0.04883740387174251,dexe
2024-06-29,11.341049483895128,4526168.002603142,647896088.8695145,-0.011554387735214666,dexe
2024-06-30,11.054340913206675,3563950.652309066,630888374.8741549,-0.02528060309547142,dexe
2024-07-01,11.455590381651618,3211073.505540241,653455849.4691771,0.0362979097166769,dexe
2024-07-02,11.268792510656988,4225094.22784858,643475890.1238799,-0.016306263123184173,dexe
2024-07-03,10.657289460003367,12548957.4837332,608519917.9422113,-0.054265179705395905,dexe
2024-07-04,9.926196339370495,4257649.942917483,566455406.1151323,-0.06860028747240587,dexe
2024-07-05,8.968825605616672,4774547.6923802495,512027568.64855486,-0.09644890157537811,dexe
2024-07-06,8.931087216135023,5555038.559823644,510619027.7732936,-0.004207729210167321,dexe
2024-07-07,9.379954114326331,4842669.160165175,535590938.6770836,0.05025893122848246,dexe
2024-07-08,8.726884502446904,4260483.769607902,497560419.7847045,-0.06962396659083558,dexe
2024-07-09,9.379006055003469,5135646.4094919665,535236595.14606714,0.07472558533044849,dexe
2024-07-10,9.841557800953781,4309296.702622465,563037793.5929868,0.049317778796352574,dexe
2024-07-11,9.824598293700179,4805517.464479623,560084230.9317404,-0.001723254346172598,dexe
2024-07-12,9.66842997549781,4533140.584281879,550352887.5840458,-0.015895644130560327,dexe
2024-07-13,10.006130077354289,5010609.2410327885,570490741.4868485,0.03492812201280815,dexe
2024-07-14,10.071764283049056,4477960.198343987,575491750.3869803,0.0065593996067780935,dexe
2024-07-15,10.29499785709993,4543366.621359847,588365457.0869848,0.02216429691733146,dexe
2024-07-16,10.625789724984308,5585090.079653364,605762622.1456888,0.032131319741484754,dexe
2024-07-17,10.321073042722135,4750070.313656563,589135433.0753629,-0.028677085670695712,dexe
2024-07-18,10.380425604560283,4170266.383531504,592202424.1097378,0.005750619300189941,dexe
2024-07-19,10.190840203568523,4722558.355221243,581605081.7074773,-0.018263740641662363,dexe
2024-07-20,10.744658818856854,19881193.059168253,613567355.3217872,0.05434474530317912,dexe
2024-07-21,10.677277774569307,29192509.036837082,610478030.4740983,-0.006271119951179238,dexe
2024-07-22,10.521412627217856,14592067.055117477,599652374.5184134,-0.014597835763220823,dexe
2024-07-23,9.83802403743796,11141151.394443749,561434577.4512329,-0.0649521707771481,dexe
2024-07-24,9.78280216319736,10012520.120646907,558758424.2816592,-0.0056131062528873565,dexe
2024-07-25,9.391902804371588,7393397.0714523895,536492000.9506912,-0.039957810891476986,dexe
2024-07-26,9.339354207461755,9623823.512844346,533287397.9922889,-0.005595095903821901,dexe
2024-07-27,9.555869570619716,5844596.190726834,545461351.9216299,0.023183119340840053,dexe
2024-07-28,9.489292007141959,4944573.876294365,542594254.2388074,-0.006967190477615515,dexe
2024-07-29,9.373542320447415,4975266.714730667,536030517.9558559,-0.012197926526807956,dexe
2024-07-30,9.736377760695774,6634353.537373204,556072668.9004532,0.03870846557729535,dexe
2024-07-31,9.378428554627801,4853601.77691436,535538519.0957449,-0.03676410415308218,dexe
2024-08-01,9.028226296334745,4818631.550470511,514916180.19049335,-0.037341251389098384,dexe
2024-08-02,8.891416105546595,4727661.285303557,508087235.52579755,-0.01515360673266375,dexe
2024-08-03,8.261360601132287,4280464.129695421,471666970.77143496,-0.07086109759515924,dexe
2024-08-04,7.882214651222848,5230504.85419062,449580794.661056,-0.04589388700179409,dexe
2024-08-05,7.591229704127458,4646484.282694874,433641977.5024554,-0.036916648425737386,dexe
2024-08-06,6.909591935754322,8183218.017988656,395657189.8086019,-0.08979279970971243,dexe
2024-08-07,7.077979696390128,5243817.347678971,403719039.66039485,0.024370145473348037,dexe
2024-08-08,7.16902737117744,5025794.540284135,409374585.4493633,0.012863511721253884,dexe
2024-08-09,7.805504828898631,7630478.2525612805,446538335.0310003,0.08878156335127163,dexe
2024-08-10,7.801655846276253,5640246.960247033,444856812.82120794,-0.0004931112985963049,dexe
2024-08-11,7.7035169651818185,3291831.08707753,441263552.30239534,-0.012579237411667665,dexe
2024-08-12,7.608465009887277,8603033.613724137,434543563.2872929,-0.01233877405919348,dexe
2024-08-13,7.782282330053515,5214454.211815199,444393557.45709515,0.02284525458687936,dexe
2024-08-14,7.731152777204977,5511399.462055399,440952588.7671387,-0.006569994595426953,dexe
2024-08-15,7.574726217627322,4435166.089443496,432541430.3739074,-0.020233277505377067,dexe
2024-08-16,7.056718480909786,6573574.188361157,402644127.5286906,-0.06838633131215588,dexe
2024-08-17,7.093173893869639,9742778.848950839,405084618.92613304,0.0051660574328527,dexe
2024-08-18,7.370663095709888,4048935.6207313016,420936472.4129371,0.03912059763261588,dexe
2024-08-19,7.722589159807897,4873342.673523716,441672668.41359895,0.04774686612699042,dexe
2024-08-20,8.046272378676713,5695612.550639803,459642222.84542227,0.04191382089227558,dexe
2024-08-21,8.048738965006256,3729573.734155745,459731236.0922722,0.00030655019038139386,dexe
2024-08-22,8.442111008025496,3287199.5751219713,482071914.6639281,0.0488737483883519,dexe
2024-08-23,8.564598301269001,3069798.882764821,489066376.7347283,0.014509083465860995,dexe
2024-08-24,9.126519975445479,3525332.875679911,520695718.3210829,0.06560981080609696,dexe
2024-08-25,9.073146325245084,3343624.2989890906,517002299.5596894,-0.005848192996234625,dexe
2024-08-26,8.886371119558353,3120409.0091354083,507440649.6237648,-0.020585494710588792,dexe
2024-08-27,8.134663279613788,3695901.3206040817,464887064.0109502,-0.08459109234028084,dexe
2024-08-28,7.704972528128806,3669691.6477058185,440459853.5158124,-0.05282219272207933,dexe
2024-08-29,7.649128926752737,5133283.882996679,437407015.15817434,-0.007247735299794944,dexe
2024-08-30,7.61605545404374,4365755.411488863,434809850.1928012,-0.004323822101275243,dexe
2024-08-31,7.607900884671845,3470351.4238018314,434547956.2052221,-0.001070707720170927,dexe
2024-09-01,7.299402528122313,2783825.896784737,416738374.628295,-0.0405497339182066,dexe
2024-09-02,7.214685762972145,3720776.6870620735,411758840.6490953,-0.011605986219252906,dexe
2024-09-03,7.628610989557415,3220080.0007080818,435418679.7034974,0.05737259254029525,dexe
2024-09-04,7.3510723344548055,4262465.452688312,420788824.4226759,-0.03638128297307652,dexe
2024-09-05,7.541241030433319,3981709.2774165454,430598552.0546464,0.02586951771474011,dexe
2024-09-06,7.301119604199496,3527445.578282588,416902802.0847627,-0.031841102182623926,dexe
2024-09-07,7.077253860346162,3709226.8641900755,404188038.0481181,-0.030661837634404665,dexe
2024-09-08,7.054277572972884,3783289.1187595287,402534008.19573504,-0.0032464975577622956,dexe
2024-09-09,7.391298958515282,3902390.2142473296,421916270.31964713,0.047775464185536354,dexe
2024-09-10,7.743879456753402,5620925.574861882,442396458.3101289,0.04770210219029547,dexe
2024-09-11,7.85611762225423,3680959.4348132913,448498930.0315536,0.01449379037052867,dexe
2024-09-12,7.799653987127847,3777327.8343883003,445400796.3362648,-0.007187218654470806,dexe
2024-09-13,7.987867158656818,3779695.4934975035,456132030.6396291,0.024130964250412612,dexe
2024-09-14,8.033064503614634,3544490.0262597566,458714070.7202881,0.005658249450084307,dexe
2024-09-15,8.028321084713328,3240097.1511707106,458564092.2933764,-0.0005904868433673771,dexe
2024-09-16,7.701250873405771,3010108.379435949,439577273.32586074,-0.04073955287243425,dexe
2024-09-17,7.316961829540674,3157503.6101973783,418034580.666212,-0.04989956179614108,dexe
2024-09-18,7.638274375967587,3448186.7639186615,436304185.1273116,0.04391338289201974,dexe
2024-09-19,7.906954952209361,3531256.6834297935,451246207.2040021,0.03517555969017394,dexe
2024-09-20,8.401068041393993,3925408.561790375,478058447.1608957,0.06249094527174037,dexe
2024-09-21,8.693416982873801,3475265.277680458,495768719.7323791,0.03479902079584862,dexe
2024-09-22,8.88677735824865,2956736.255221224,507626430.316264,0.022242160448046278,dexe
2024-09-23,8.695469613754272,3305895.672111858,496798890.20704067,-0.02152723498994924,dexe
2024-09-24,8.869663779636653,3239514.764652599,506367579.0857707,0.020032749652398874,dexe
2024-09-25,8.921240538350542,3020145.373791784,509037262.43057007,0.005814962099499388,dexe
2024-09-26,8.691206738240334,2862426.771124658,495989719.5943029,-0.02578495660119695,dexe
2024-09-27,8.85567627439581,3521006.626815332,505317790.2153153,0.018923670913479462,dexe
2024-09-28,9.14213693382898,3571860.3855091734,521855454.9184659,0.032347688709150946,dexe
2024-09-29,8.78717901038303,3062330.78489917,502097329.47458375,-0.03882658135785366,dexe
2024-09-30,8.99145930846433,2958973.732634811,514190396.5083842,0.023247540290225244,dexe
2024-10-01,8.446592496096194,3140877.419393371,481588135.3495031,-0.06059826260407053,dexe
2024-10-02,7.704395014802339,3829580.569643383,439945975.5472935,-0.08786945524326895,dexe
2024-10-03,7.5383143704009425,3279802.8279608455,430457459.23561764,-0.021556610750397387,dexe
2024-10-04,7.5222746217945575,3623440.998220985,428331706.5178627,-0.0021277632927282353,dexe
2024-10-05,7.742958293653538,2637879.757555636,441864014.47351485,0.029337359104064875,dexe
2024-10-06,7.79211248506967,2476797.6407398395,444831522.7003157,0.006348244372751166,dexe
2024-10-07,8.178506043500327,2900037.821460494,466936050.26253146,0.04958777984417173,dexe
2024-10-08,8.253635913211093,3626572.45359554,471815961.35672396,0.009186258384008106,dexe
2024-10-09,8.178373263276766,3456457.443279424,467136990.56303555,-0.009118726670976463,dexe
2024-10-10,7.957927075969807,3715603.554116019,453746496.0130078,-0.026954772081243306,dexe
2024-10-11,7.956359865921037,3898536.0544647803,454246141.19269675,-0.00019693697037037605,dexe
2024-10-12,8.40008687542346,4150392.892567933,479710291.89650273,0.055770103034556096,dexe
2024-10-13,8.512728269356026,3842951.0699102306,485663355.37811357,0.013409551068111814,dexe
2024-10-14,8.611597105426121,4479626.133399958,491737624.9730679,0.011614236111118448,dexe
2024-10-15,8.837497480053825,3998653.302701314,504023439.11317503,0.026232111403048153,dexe
2024-10-16,8.718967050125487,3120805.0771033354,497759379.65548754,-0.013412216546127453,dexe
2024-10-17,8.64125316509417,2538861.541532553,493592702.6718646,-0.00891319861453066,dexe
2024-10-18,8.429289862818678,1910418.5222168986,481339825.48191255,-0.024529231840088372,dexe
2024-10-19,8.479617599296008,1742955.3172636705,484270896.0555976,0.00597057845872917,dexe
2024-10-20,8.520906978453386,1476528.8505111814,486489491.1688336,0.004869250137035319,dexe
2024-10-21,8.859862799287614,1906150.4414367888,504930647.1100423,0.039779312424292,dexe
2024-10-22,8.665106920312605,2660265.4057963854,494805745.2861971,-0.02198181657967302,dexe
2024-10-23,8.659486978197597,1904589.2856936383,494680761.41791505,-0.0006485715833273176,dexe
2024-10-24,8.23619842679303,1547567.766375471,470313677.41591656,-0.04888148137069803,dexe
2024-10-25,8.385709458478551,1765876.7044023029,478473159.76422244,0.01815291763723792,dexe
2024-10-26,7.878217851584974,2380176.088360834,449896810.4941341,-0.060518625097422896,dexe
2024-10-27,7.862829487027125,1724268.843777493,448602851.50695485,-0.0019532798975282484,dexe
2024-10-28,7.920871138193554,1204533.5824261724,451922004.3458953,0.00738177665714268,dexe
2024-10-29,8.050052822489338,1702289.7165773106,459135003.70353055,0.01630902485875363,dexe
2024-10-30,8.444058257188837,1637403.4663268654,482965978.28079325,0.04894445333312247,dexe
2024-10-31,8.41144657856161,1725119.1565450951,480740751.15046096,-0.003862085934741466,dexe
2024-11-01,7.929684567357887,1472668.900263276,452597893.7562172,-0.057274573012399355,dexe
2024-11-02,7.856671337372583,1652737.676840571,448955488.7175032,-0.009207583147236242,dexe
2024-11-03,7.616560438158392,1098609.6112466746,435004624.2026217,-0.03056140302980881,dexe
2024-11-04,7.363079036849402,1437709.8076165055,421097180.7014622,-0.03328029802521726,dexe
2024-11-05,7.252995675296885,1466121.0706020142,414267913.886781,-0.014950723875377547,dexe
2024-11-06,7.57273425469089,1758361.3233309605,432519582.1677438,0.04408365780266599,dexe
2024-11-07,8.288936348144636,2715746.2676109234,473078028.7581451,0.09457641974034647,dexe
2024-11-08,8.421661074020626,1748827.828569698,480568997.4275701,0.01601227471190536,dexe
2024-11-09,8.475530263898262,1914912.3914335,483835710.08365285,0.006396504134298819,dexe
2024-11-10,8.726195540629432,1499947.6255504834,497809299.55836415,0.029575173343299177,dexe
2024-11-11,8.821598528980944,3068654.5123750446,503299517.6064345,0.010932941842445976,dexe
2024-11-12,9.851671728562804,11120434.02017856,562502541.7385408,0.11676718184327206,dexe
2024-11-13,9.2425510874398,3969811.231980785,527885466.97509336,-0.06182916543564787,dexe
2024-11-14,8.681928357882189,3408773.237428977,495598627.30168617,-0.060656708765123524,dexe
2024-11-15,8.59704771681004,2278846.920148403,489977489.6531914,-0.009776703696833255,dexe
2024-11-16,8.87156589914463,1842250.9324432572,506333486.3368559,0.03193168066263219,dexe
2024-11-17,9.248299391764514,1810935.1932563966,528362627.2873949,0.042465275792654245,dexe
2024-11-18,8.979779841355835,2924308.9058967642,512772791.83061737,-0.029034478560219568,dexe
2024-11-19,9.470458225652724,2126927.3159977905,540405113.7518984,0.05464258511518283,dexe
2024-11-20,9.397445156790342,1757358.991433514,536796529.7206976,-0.0077095603108845445,dexe
2024-11-21,8.48850088629033,2224313.7133490825,484609174.92100215,-0.09672248737128653,dexe
2024-11-22,8.561448856351669,2833592.0674951747,488777560.6312593,0.008593740053577159,dexe
2024-11-23,8.406435331086834,2395626.0557816415,479809540.79030055,-0.018105992089158085,dexe
2024-11-24,8.433647134483056,3401277.796640513,481468755.5097352,0.0032370204878151565,dexe
2024-11-25,8.554610436150075,3684844.699885801,489242519.8950771,0.014342940810557536,dexe
2024-11-26,8.238312480236665,3796414.3459273027,470506698.0495883,-0.03697397541059233,dexe
2024-11-27,8.057334097452433,2872907.461097711,459961117.0123867,-0.021967894907894192,dexe
2024-11-28,8.55283732852411,3228547.1801313446,488407861.4925443,0.06149716830388652,dexe
2024-11-29,8.64385309224936,2524730.641312578,493648997.3028027,0.010641587139943454,dexe
2024-11-30,8.944050949059216,2446860.919462625,510538558.58976793,0.034729634296889245,dexe
2024-12-01,9.189037291550738,3261802.524148707,524773340.38305956,0.02739098244037752,dexe
