realtime_start,realtime_end,date,value
2025-03-27,2025-03-27,2023-10-06,4308.5
2025-03-27,2025-03-27,2023-10-09,4335.66
2025-03-27,2025-03-27,2023-10-10,4358.24
2025-03-27,2025-03-27,2023-10-11,4376.95
2025-03-27,2025-03-27,2023-10-12,4349.61
2025-03-27,2025-03-27,2023-10-13,4327.78
2025-03-27,2025-03-27,2023-10-16,4373.63
2025-03-27,2025-03-27,2023-10-17,4373.2
2025-03-27,2025-03-27,2023-10-18,4314.6
2025-03-27,2025-03-27,2023-10-19,4278.0
2025-03-27,2025-03-27,2023-10-20,4224.16
2025-03-27,2025-03-27,2023-10-23,4217.04
2025-03-27,2025-03-27,2023-10-24,4247.68
2025-03-27,2025-03-27,2023-10-25,4186.77
2025-03-27,2025-03-27,2023-10-26,4137.23
2025-03-27,2025-03-27,2023-10-27,4117.37
2025-03-27,2025-03-27,2023-10-30,4166.82
2025-03-27,2025-03-27,2023-10-31,4193.8
2025-03-27,2025-03-27,2023-11-01,4237.86
2025-03-27,2025-03-27,2023-11-02,4317.78
2025-03-27,2025-03-27,2023-11-03,4358.34
2025-03-27,2025-03-27,2023-11-06,4365.98
2025-03-27,2025-03-27,2023-11-07,4378.38
2025-03-27,2025-03-27,2023-11-08,4382.78
2025-03-27,2025-03-27,2023-11-09,4347.35
2025-03-27,2025-03-27,2023-11-10,4415.24
2025-03-27,2025-03-27,2023-11-13,4411.55
2025-03-27,2025-03-27,2023-11-14,4495.7
2025-03-27,2025-03-27,2023-11-15,4502.88
2025-03-27,2025-03-27,2023-11-16,4508.24
2025-03-27,2025-03-27,2023-11-17,4514.02
2025-03-27,2025-03-27,2023-11-20,4547.38
2025-03-27,2025-03-27,2023-11-21,4538.19
2025-03-27,2025-03-27,2023-11-22,4556.62
2025-03-27,2025-03-27,2023-11-23,
2025-03-27,2025-03-27,2023-11-24,4559.34
2025-03-27,2025-03-27,2023-11-27,4550.43
2025-03-27,2025-03-27,2023-11-28,4554.89
2025-03-27,2025-03-27,2023-11-29,4550.58
2025-03-27,2025-03-27,2023-11-30,4567.8
2025-03-27,2025-03-27,2023-12-01,4594.63
2025-03-27,2025-03-27,2023-12-04,4569.78
2025-03-27,2025-03-27,2023-12-05,4567.18
2025-03-27,2025-03-27,2023-12-06,4549.34
2025-03-27,2025-03-27,2023-12-07,4585.59
2025-03-27,2025-03-27,2023-12-08,4604.37
2025-03-27,2025-03-27,2023-12-11,4622.44
2025-03-27,2025-03-27,2023-12-12,4643.7
2025-03-27,2025-03-27,2023-12-13,4707.09
2025-03-27,2025-03-27,2023-12-14,4719.55
2025-03-27,2025-03-27,2023-12-15,4719.19
2025-03-27,2025-03-27,2023-12-18,4740.56
2025-03-27,2025-03-27,2023-12-19,4768.37
2025-03-27,2025-03-27,2023-12-20,4698.35
2025-03-27,2025-03-27,2023-12-21,4746.75
2025-03-27,2025-03-27,2023-12-22,4754.63
2025-03-27,2025-03-27,2023-12-25,
2025-03-27,2025-03-27,2023-12-26,4774.75
2025-03-27,2025-03-27,2023-12-27,4781.58
2025-03-27,2025-03-27,2023-12-28,4783.35
2025-03-27,2025-03-27,2023-12-29,4769.83
2025-03-27,2025-03-27,2024-01-01,
2025-03-27,2025-03-27,2024-01-02,4742.83
2025-03-27,2025-03-27,2024-01-03,4704.81
2025-03-27,2025-03-27,2024-01-04,4688.68
2025-03-27,2025-03-27,2024-01-05,4697.24
2025-03-27,2025-03-27,2024-01-08,4763.54
2025-03-27,2025-03-27,2024-01-09,4756.5
2025-03-27,2025-03-27,2024-01-10,4783.45
2025-03-27,2025-03-27,2024-01-11,4780.24
2025-03-27,2025-03-27,2024-01-12,4783.83
2025-03-27,2025-03-27,2024-01-15,
2025-03-27,2025-03-27,2024-01-16,4765.98
2025-03-27,2025-03-27,2024-01-17,4739.21
2025-03-27,2025-03-27,2024-01-18,4780.94
2025-03-27,2025-03-27,2024-01-19,4839.81
2025-03-27,2025-03-27,2024-01-22,4850.43
2025-03-27,2025-03-27,2024-01-23,4864.6
2025-03-27,2025-03-27,2024-01-24,4868.55
2025-03-27,2025-03-27,2024-01-25,4894.16
2025-03-27,2025-03-27,2024-01-26,4890.97
2025-03-27,2025-03-27,2024-01-29,4927.93
2025-03-27,2025-03-27,2024-01-30,4924.97
2025-03-27,2025-03-27,2024-01-31,4845.65
2025-03-27,2025-03-27,2024-02-01,4906.19
2025-03-27,2025-03-27,2024-02-02,4958.61
2025-03-27,2025-03-27,2024-02-05,4942.81
2025-03-27,2025-03-27,2024-02-06,4954.23
2025-03-27,2025-03-27,2024-02-07,4995.06
2025-03-27,2025-03-27,2024-02-08,4997.91
2025-03-27,2025-03-27,2024-02-09,5026.61
2025-03-27,2025-03-27,2024-02-12,5021.84
2025-03-27,2025-03-27,2024-02-13,4953.17
2025-03-27,2025-03-27,2024-02-14,5000.62
2025-03-27,2025-03-27,2024-02-15,5029.73
2025-03-27,2025-03-27,2024-02-16,5005.57
2025-03-27,2025-03-27,2024-02-19,
2025-03-27,2025-03-27,2024-02-20,4975.51
2025-03-27,2025-03-27,2024-02-21,4981.8
2025-03-27,2025-03-27,2024-02-22,5087.03
2025-03-27,2025-03-27,2024-02-23,5088.8
2025-03-27,2025-03-27,2024-02-26,5069.53
2025-03-27,2025-03-27,2024-02-27,5078.18
2025-03-27,2025-03-27,2024-02-28,5069.76
2025-03-27,2025-03-27,2024-02-29,5096.27
2025-03-27,2025-03-27,2024-03-01,5137.08
2025-03-27,2025-03-27,2024-03-04,5130.95
2025-03-27,2025-03-27,2024-03-05,5078.65
2025-03-27,2025-03-27,2024-03-06,5104.76
2025-03-27,2025-03-27,2024-03-07,5157.36
2025-03-27,2025-03-27,2024-03-08,5123.69
2025-03-27,2025-03-27,2024-03-11,5117.94
2025-03-27,2025-03-27,2024-03-12,5175.27
2025-03-27,2025-03-27,2024-03-13,5165.31
2025-03-27,2025-03-27,2024-03-14,5150.48
2025-03-27,2025-03-27,2024-03-15,5117.09
2025-03-27,2025-03-27,2024-03-18,5149.42
2025-03-27,2025-03-27,2024-03-19,5178.51
2025-03-27,2025-03-27,2024-03-20,5224.62
2025-03-27,2025-03-27,2024-03-21,5241.53
2025-03-27,2025-03-27,2024-03-22,5234.18
2025-03-27,2025-03-27,2024-03-25,5218.19
2025-03-27,2025-03-27,2024-03-26,5203.58
2025-03-27,2025-03-27,2024-03-27,5248.49
2025-03-27,2025-03-27,2024-03-28,5254.35
2025-03-27,2025-03-27,2024-03-29,
2025-03-27,2025-03-27,2024-04-01,5243.77
2025-03-27,2025-03-27,2024-04-02,5205.81
2025-03-27,2025-03-27,2024-04-03,5211.49
2025-03-27,2025-03-27,2024-04-04,5147.21
2025-03-27,2025-03-27,2024-04-05,5204.34
2025-03-27,2025-03-27,2024-04-08,5202.39
2025-03-27,2025-03-27,2024-04-09,5209.91
2025-03-27,2025-03-27,2024-04-10,5160.64
2025-03-27,2025-03-27,2024-04-11,5199.06
2025-03-27,2025-03-27,2024-04-12,5123.41
2025-03-27,2025-03-27,2024-04-15,5061.82
2025-03-27,2025-03-27,2024-04-16,5051.41
